Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
SITE,"SiteOne Landscape Supply, Inc.",91.18,$3.77B,2016.0,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/site,
SIX,Six Flags Entertainment Corporation New,46.05,$3.89B,,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/six,
SJW,SJW Group,68.22,$1.94B,,Public Utilities,Water Supply,https://old.nasdaq.com/symbol/sjw,
SKM,"SK Telecom Co., Ltd.",23.25,$15.32B,,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/skm,
SKX,"Skechers U.S.A., Inc.",41.02,$6.43B,1999.0,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/skx,
SKY,Skyline Champion Corporation,31.44,$1.78B,,Basic Industries,Homebuilding,https://old.nasdaq.com/symbol/sky,
SLG,SL Green Realty Corp,85.95,$6.89B,1997.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/slg,
WORK,"Slack Technologies, Inc.",23.11,$12.57B,2019.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/work,
SM,SM Energy Company,8.81,$994.27M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/sm,
SMAR,Smartsheet Inc.,42.62,$4.97B,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/smar,
SNN,"Smith & Nephew SNATS, Inc.",43.47,$19.02B,,Health Care,Industrial Specialties,https://old.nasdaq.com/symbol/snn,
SNAP,Snap Inc.,14.69,$20.57B,2017.0,Technology,"Computer Software: Programming, Data Processing",https://old.nasdaq.com/symbol/snap,
SNA,Snap-On Incorporated,162.05,$8.89B,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/sna,
SQM,Sociedad Quimica y Minera S.A.,24.04,$6.33B,1993.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),https://old.nasdaq.com/symbol/sqm,
SOGO,Sogou Inc.,5.03,$1.97B,2017.0,Technology,EDP Services,https://old.nasdaq.com/symbol/sogo,
SOI,"Solaris Oilfield Infrastructure, Inc.",10.97,$522.03M,2017.0,Energy,Metal Fabrications,https://old.nasdaq.com/symbol/soi,
SWI,SolarWinds Corporation,19.21,$5.98B,2018.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/swi,
SAH,"Sonic Automotive, Inc.",34.15,$1.47B,1997.0,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/sah,
SON,Sonoco Products Company,58.6,$5.87B,,Consumer Durables,Containers/Packaging,https://old.nasdaq.com/symbol/son,
SNE,Sony Corp Ord,62.44,$76.82B,,Consumer Non-Durables,Consumer Electronics/Appliances,https://old.nasdaq.com/symbol/sne,
SOR,"Source Capital, Inc.",37.98,$321.94M,,,,https://old.nasdaq.com/symbol/sor,
SJI,"South Jersey Industries, Inc.",30.29,$2.8B,,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/sji,
SJIJ,"South Jersey Industries, Inc.",25.6,,2019.0,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/sjij,
SJIU,"South Jersey Industries, Inc.",49.84,,,Public Utilities,Oil/Gas Transmission,https://old.nasdaq.com/symbol/sjiu,
SO,Southern Company (The),62.48,$65.52B,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/so,
SOJB,Southern Company (The),25.9,,2016.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/sojb,
SOJC,Southern Company (The),26.38,,2017.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/sojc,
SOLN,Southern Company (The),53.23,,2019.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/soln,
SCCO,Southern Copper Corporation,37.3,$28.84B,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/scco,
