CIK,Company_Names,Form_Type,Date_Filed,Filename,year,quarter
1652044,Alphabet Inc.,4,2016-02-01,"edgar/data/1652044/0001127602-16-038859.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-04,"edgar/data/1652044/0001127602-16-039631.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-04,"edgar/data/1652044/0001127602-16-039639.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-05,"edgar/data/1652044/0001127602-16-039900.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-05,"edgar/data/1652044/0001127602-16-039902.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-05,"edgar/data/1652044/0001127602-16-039904.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-05,"edgar/data/1652044/0001127602-16-039906.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-05,"edgar/data/1652044/0001127602-16-039908.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-05,"edgar/data/1652044/0001127602-16-039910.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-05,"edgar/data/1652044/0001127602-16-039912.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-08,"edgar/data/1652044/0001127602-16-039974.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-08,"edgar/data/1652044/0001127602-16-039976.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-09,"edgar/data/1652044/0001127602-16-040294.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-09,"edgar/data/1652044/0001127602-16-040298.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-10,"edgar/data/1652044/0001127602-16-040393.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-10,"edgar/data/1652044/0001127602-16-040398.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-02-11,"edgar/data/1652044/0001127602-16-040752.txt
",2016,QTR1
