CIK,Company_Names,Form_Type,Date_Filed,Filename,year,quarter
320193,APPLE INC,4,2013-12-26,"edgar/data/320193/0001181431-13-064577.txt
",2013,QTR4
320193,APPLE INC,4,2013-12-26,"edgar/data/320193/0001181431-13-064578.txt
",2013,QTR4
320193,APPLE INC,8-K,2013-10-28,"edgar/data/320193/0001193125-13-413498.txt
",2013,QTR4
320193,APPLE INC,DFAN14A,2013-12-04,"edgar/data/320193/0000928464-13-000275.txt
",2013,QTR4
320193,APPLE INC,NO ACT,2013-12-17,"edgar/data/320193/9999999997-14-000040.txt
",2013,QTR4
320193,APPLE INC,PRE 14A,2013-12-27,"edgar/data/320193/0001193125-13-486406.txt
",2013,QTR4
320193,APPLE INC,10-Q,2014-01-28,"edgar/data/320193/0001193125-14-024487.txt
",2014,QTR1
320193,APPLE INC,4,2014-01-03,"edgar/data/320193/0001181431-14-000951.txt
",2014,QTR1
320193,APPLE INC,4,2014-01-27,"edgar/data/320193/0001181431-14-004075.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-04,"edgar/data/320193/0001181431-14-005062.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-04,"edgar/data/320193/0001181431-14-005063.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-04,"edgar/data/320193/0001181431-14-005064.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-04,"edgar/data/320193/0001181431-14-005065.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-04,"edgar/data/320193/0001181431-14-005066.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-04,"edgar/data/320193/0001181431-14-005067.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-04,"edgar/data/320193/0001181431-14-005068.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-12,"edgar/data/320193/0001181431-14-006579.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-12,"edgar/data/320193/0001181431-14-006580.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-12,"edgar/data/320193/0001181431-14-006581.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-12,"edgar/data/320193/0001181431-14-006582.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-12,"edgar/data/320193/0001181431-14-006584.txt
",2014,QTR1
320193,APPLE INC,4,2014-02-27,"edgar/data/320193/0001181431-14-009735.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-04,"edgar/data/320193/0001181431-14-010711.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-04,"edgar/data/320193/0001181431-14-010713.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-04,"edgar/data/320193/0001181431-14-010717.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-04,"edgar/data/320193/0001181431-14-010719.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-04,"edgar/data/320193/0001181431-14-010721.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-04,"edgar/data/320193/0001181431-14-010722.txt
",2014,QTR1
320193,APPLE INC,4,2014-03-04,"edgar/data/320193/0001181431-14-010723.txt
",2014,QTR1
